date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:55:46	202/202	---M--	200	added ('OK')	text/plain	etag:%22597ac91a-ca%22	https://www.qiniu.com/robots.txt		(from )
08:55:46	50268/-1	---M--	200	added ('OK')	text/html	etag:W/%227a8499cc4d25b611669366b962d6f0a0%22	https://www.qiniu.com/	D:/test--vm/web/www.qiniu.com/index.html	(from )
08:55:46	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%225ac49894-1536%22	https://www.qiniu.com/favicon.ico	D:/test--vm/web/www.qiniu.com/favicon.ico	(from https://www.qiniu.com/)
08:55:47	297145/297145	---MCZ	200	added ('OK')	text/css	etag:W/%225ac49894-488b9%22	https://www.qiniu.com/assets/application-b8831c0d151f8e003b785d80784434512b194427cfc9668cd8d55449d6b622a9.css	D:/test--vm/web/www.qiniu.com/assets/application-b8831c0d151f8e003b785d80784434512b194427cfc9668cd8d55449d6b622a9.css	(from https://www.qiniu.com/)
08:55:47	323917/323917	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ac1fc9b-4f14d%22	https://www.qiniu.com/assets/application-1ab7b85b46891af599dd44724b8cdb75c42ab30eba07299a9d2623d7612fd4d7.js	D:/test--vm/web/www.qiniu.com/assets/application-1ab7b85b46891af599dd44724b8cdb75c42ab30eba07299a9d2623d7612fd4d7.js	(from https://www.qiniu.com/)
08:55:47	3625/3625	---M--	200	added ('OK')	image/png	etag:%22597b197a-e29%22	https://www.qiniu.com/assets/logo-white-18da5fcb02f4aa87dacbf4451a7356b6179baebc96ae77cf24f607c98d12d100.png	D:/test--vm/web/www.qiniu.com/assets/logo-white-18da5fcb02f4aa87dacbf4451a7356b6179baebc96ae77cf24f607c98d12d100.png	(from https://www.qiniu.com/)
08:55:48	52477/52477	---MCZ	200	added ('OK')	text/html	etag:W/%227ca308bc1c58e530137c39800b2a78a1%22	https://www.qiniu.com/products/kodo	D:/test--vm/web/www.qiniu.com/products/kodo.html	(from https://www.qiniu.com/)
08:55:48	48084/48084	---MCZ	200	added ('OK')	text/html	etag:W/%22a360356cd5cfe440147450bcb1c45ab0%22	https://www.qiniu.com/products/fusion	D:/test--vm/web/www.qiniu.com/products/fusion.html	(from https://www.qiniu.com/)
08:55:48	46789/46789	---MCZ	200	added ('OK')	text/html	etag:W/%22d30ae162d771530c9191ef8a6bbac8bd%22	https://www.qiniu.com/products/kirk	D:/test--vm/web/www.qiniu.com/products/kirk.html	(from https://www.qiniu.com/)
08:55:48	38103/38103	---MCZ	200	added ('OK')	text/html	etag:W/%226594dbcd746cd21e10799f1129bb8f14%22	https://www.qiniu.com/products/atlab	D:/test--vm/web/www.qiniu.com/products/atlab.html	(from https://www.qiniu.com/)
08:55:49	44516/44516	---MCZ	200	added ('OK')	text/html	etag:W/%22c2c093f9e6992e030b6f624b8523dfb1%22	https://www.qiniu.com/products/pandora	D:/test--vm/web/www.qiniu.com/products/pandora.html	(from https://www.qiniu.com/)
08:55:49	51607/51607	---MCZ	200	added ('OK')	text/html	etag:W/%22a3979f3836af6fe0b30070df29005ecd%22	https://www.qiniu.com/products/dora	D:/test--vm/web/www.qiniu.com/products/dora.html	(from https://www.qiniu.com/)
08:55:49	49522/49522	---MCZ	200	added ('OK')	text/html	etag:W/%2210b26018a4f7a65b621dd7a44f222a03%22	https://www.qiniu.com/products/pili	D:/test--vm/web/www.qiniu.com/products/pili.html	(from https://www.qiniu.com/)
08:55:50	74615/74615	---MCZ	200	added ('OK')	text/html	etag:W/%224841bbfd98c268594dcbd24a79379f62%22	https://www.qiniu.com/products/plsv	D:/test--vm/web/www.qiniu.com/products/plsv.html	(from https://www.qiniu.com/)
08:55:50	42353/42353	---MCZ	200	added ('OK')	text/html	etag:W/%22337d894110f65c8cdedb5ed2b6227c7c%22	https://www.qiniu.com/products/player	D:/test--vm/web/www.qiniu.com/products/player.html	(from https://www.qiniu.com/)
08:55:50	72621/72621	---MCZ	200	added ('OK')	text/html	etag:W/%222d698a1a57c03756c97f1b64cdcde679%22	https://www.qiniu.com/products/newmedia	D:/test--vm/web/www.qiniu.com/products/newmedia.html	(from https://www.qiniu.com/)
